CURSO_ACADEMICO;ESTUDIO;LOCALIDAD;CENTRO;TIPO_CENTRO;TIPO_ESTUDIO;PLAZAS_OFERTADAS;PLAZAS_MATRICULADAS;PLAZAS_SOLICITADAS;INDICE_OCUPACION;FECHA_ACTUALIZACION
2021;Máster: Profesorado E.S.O., F.P. y Ens. Idiom, Art y Deport;Huesca;Facultad de Ciencias Humanas y de la Educación;Facultad;Máster;30;0;138;0.00;16/04/2022
2021;Máster: Profesorado E.S.O., F.P. y Ens. Idiom, Art y Deport;Teruel;Facultad de Ciencias Sociales y Humanas de Teruel;Facultad;Máster;16;0;74;0.00;16/04/2022
2021;Máster: Prevención de riesgos laborales;Zaragoza;Facultad de Derecho;Facultad;Máster;30;0;105;0.00;16/04/2022
2021;Máster: Arquitectura;Zaragoza;Escuela de Ingeniería y Arquitectura;Facultad;Máster;80;0;40;0.00;16/04/2022
2021;Máster: Modelización e Investigación Matemática, Estadística y Computación;Zaragoza;Facultad de Ciencias;Facultad;Máster;17;0;58;0.00;16/04/2022
2021;Máster: Abogacía;Zaragoza;Facultad de Derecho;Facultad;Máster;100;0;142;0.00;16/04/2022
2021;Máster: Estudios Avanzados sobre el Lenguaje, la Comunicación y sus Patologías;Huesca;Facultad de Ciencias Humanas y de la Educación;Facultad;Máster;20;0;60;0.00;16/04/2022
2021;Máster: Ingeniería Química;Zaragoza;Escuela de Ingeniería y Arquitectura;Facultad;Máster;40;0;41;0.00;16/04/2022
2021;Máster: Ingeniería Industrial;Zaragoza;Escuela de Ingeniería y Arquitectura;Facultad;Máster;220;0;138;0.00;16/04/2022
2021;Máster: Ingeniería de Telecomunicación;Zaragoza;Escuela de Ingeniería y Arquitectura;Facultad;Máster;30;0;32;0.00;16/04/2022
2021;Máster: Ingeniería Informática;Zaragoza;Escuela de Ingeniería y Arquitectura;Facultad;Máster;60;0;20;0.00;16/04/2022
2021;Máster: Ingeniería Mecánica;Zaragoza;Escuela de Ingeniería y Arquitectura;Facultad;Máster;24;0;43;0.00;16/04/2022
2021;Máster: Química Industrial;Zaragoza;Facultad de Ciencias;Facultad;Máster;50;0;42;0.00;16/04/2022
2021;Máster: Geología: Técnicas y Aplicaciones;Zaragoza;Facultad de Ciencias;Facultad;Máster;20;0;12;0.00;16/04/2022
2021;Máster: Química Molecular y Catálisis Homogénea;Zaragoza;Facultad de Ciencias;Facultad;Máster;25;0;41;0.00;16/04/2022
2021;Máster: Auditoría;Zaragoza;Facultad de Economía y Empresa;Facultad;Máster;32;0;100;0.00;16/04/2022
2021;Máster: Ingeniería Agronómica;Huesca;Escuela Politécnica Superior;Facultad;Máster;40;0;24;0.00;16/04/2022
2021;Máster: Evaluación y Entrenamiento Físico para la Salud;Huesca;Facultad de Ciencias de la Salud y del Deporte;Facultad;Máster;20;0;25;0.00;16/04/2022
2021;Máster: Mundo Antiguo y Patrimonio Arqueológico;Zaragoza;Facultad de Filosofía y Letras;Facultad;Máster;30;0;28;0.00;16/04/2022
2021;Máster: Iniciación a la Investigación en Ciencias de la Enfermería;Zaragoza;Facultad de Ciencias de la Salud;Facultad;Máster;30;0;30;0.00;16/04/2022
